[19:03:07] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[19:03:08] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[19:03:08] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/servidor/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[19:03:12] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:03:14] [main/INFO]: Loaded 7 recipes
[19:03:14] [main/INFO]: Loaded 1271 advancements
[19:03:15] [Server thread/INFO]: Starting minecraft server version 1.20.1
[19:03:15] [Server thread/INFO]: Loading properties
[19:03:15] [Server thread/INFO]: Default game type: SURVIVAL
[19:03:15] [Server thread/INFO]: Generating keypair
[19:03:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:03:15] [Server thread/INFO]: Using epoll channel type
[19:03:15] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:03:15] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:03:15] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:03:15] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:03:15] [Server thread/INFO]: Preparing level "world"
[19:03:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:03:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:03:22] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[19:03:22] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[19:03:23] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[19:03:23] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[19:03:24] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[19:03:24] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[19:03:25] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[19:03:25] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[19:03:26] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[19:03:26] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[19:03:27] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:03:27] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[19:03:28] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[19:03:28] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[19:03:29] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[19:03:29] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[19:03:30] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[19:03:30] [Worker-Main-1/INFO]: Preparing spawn area: 24%
[19:03:31] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[19:03:31] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[19:03:32] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[19:03:32] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[19:03:33] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[19:03:33] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[19:03:34] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[19:03:34] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[19:03:35] [Worker-Main-3/INFO]: Preparing spawn area: 51%
[19:03:35] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[19:03:36] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[19:03:36] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[19:03:37] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[19:03:37] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[19:03:38] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[19:03:38] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[19:03:39] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[19:03:39] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[19:03:40] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[19:03:40] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[19:03:41] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[19:03:41] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[19:03:42] [Worker-Main-3/INFO]: Preparing spawn area: 92%
[19:03:42] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[19:03:43] [Server thread/INFO]: Time elapsed: 22485 ms
[19:03:43] [Server thread/INFO]: Done (27.953s)! For help, type "help"
[19:03:43] [Server thread/INFO]: Unknown or incomplete command, see below for error
[19:03:43] [Server thread/INFO]: home/codespace/.python/current/bin/python3 /workspaces/servidor/msx.py<--[HERE]
